,reward,session,trial,mean_degree,std_degree,entropy_degree,mean_strenght,std_strenght,entropy_strenght,mean_closeness,std_closeness,entropy_closeness,mean_clustering,std_clustering,entropy_clustering,geodd,smallworld,mean_clustering_midbrain,mean_clustering_basal_ganglia,std_clustering_midbrain,std_clustering_basal_ganglia,mean_degree_midbrain,mean_degree_basal_ganglia,std_degree_midbrain,std_degree_basal_ganglia,mean_strenght_midbrain,mean_strenght_basal_ganglia,std_strenght_midbrain,std_strenght_basal_ganglia,mean_closeness_midbrain,mean_closeness_basal_ganglia,std_closeness_midbrain,std_closeness_basal_ganglia
0,-1.0,30,1,24.756137479541735,17.686701731569176,2.140297368706276,0.7476936368126812,0.5629384411153378,2.0676128660138535,0.01370743798208712,0.0016628975777201237,2.6184470004019063,0.2687718945484748,0.10576138650153204,2.772340064066263,2.418872581900137,0.11111453185241446,0.2629707672958911,0.19240796847161853,0.09138365553823818,0.07261512084609958,21.46153846153846,38.35294117647059,13.188662873937101,24.28129557661396,0.6364789973939492,1.1296130444303465,0.38719781695768785,0.7626155538151427,0.013574743271301691,0.014749197764747533,0.001402946992902658,0.0019111614505238506
1,-1.0,30,5,32.71518987341772,22.65455825599066,2.077666060563665,1.06608872898232,0.7494579548773712,2.019326759669686,0.016468741634695812,0.0018428717054313499,2.6369106575499504,0.28377268949134843,0.10240370353338978,2.883669753624856,2.2119651347068148,0.12828985639909787,0.2670137127460379,0.2118042880209281,0.093066450920321,0.10322736317218288,28.666666666666668,50.588235294117645,19.733783778642714,36.000913098762325,0.9164340246165747,1.5864824288194568,0.5961139009525731,1.2025471684265703,0.016102382812249606,0.017468329621739574,0.0018614881833250697,0.0023835986129996964
2,1.0,30,6,27.11343804537522,18.80707724494879,2.028008491734969,0.8609859161921736,0.6217673618633021,2.0049166465690016,0.015424748623740108,0.0017998434029532068,2.6952353202282318,0.2807049545060654,0.10948173184125223,2.8567557244862547,2.295524719608489,0.12228356859251804,0.29913246447373687,0.2098831259684763,0.11320072234569194,0.09248625012017621,25.962962962962962,37.62264150943396,13.820225333108267,26.932288551241495,0.8172352113718605,1.1474833208153903,0.4123733883160257,0.8822293244453011,0.015401259421337096,0.016318962346147426,0.001324272466866444,0.001956534188620623
3,-1.0,30,7,18.226470588235294,13.759228108127575,1.7903576727479216,0.5134864292259532,0.41624921364225614,1.7246640345729696,0.011657490930213276,0.0014182094341318751,2.592728909646884,0.2258624908575145,0.1179693662322395,2.419768729487731,2.622039331196396,0.08614000872155374,0.23236719864014294,0.15362856522180185,0.12551514698309615,0.08190230600849552,16.25,27.22,12.351619327035625,22.858512637527404,0.4517314682323299,0.7679933248852222,0.36231747713359996,0.6803766760125244,0.01126491290611313,0.012581094558903098,0.0013478926932881925,0.0017739458588465077
4,-1.0,30,8,24.406576980568012,15.416267448212178,2.0381845281797437,0.7189838082729002,0.47909471642635076,1.934935707215367,0.013366153082266902,0.0014557874956165667,2.604987224791789,0.24826018370728092,0.09521814406106288,2.6438106201034475,2.452400132470485,0.10123151618703835,0.24581068114167604,0.18498549958439184,0.09335591138995665,0.08617229357363373,24.235294117647058,34.640776699029125,14.776887405136543,22.24176704622378,0.6985304912567475,1.0061984191521665,0.4226246948320902,0.7025860016851803,0.01317160899724269,0.014330360266303126,0.0014309644086637258,0.0016794437571531105
5,-1.0,30,9,18.209048361934478,12.797229828915045,1.960767438209547,0.5211931132947839,0.38251350833264564,1.9480438577595736,0.011998515603711905,0.0013392222209490596,2.6119240141132276,0.23993395290930092,0.10966272571451613,2.6237455639640266,2.596538611544462,0.09240530906897797,0.2676972900618075,0.16014966333926248,0.14417458990117538,0.07502958430604385,14.5,27.242424242424242,7.356403106591337,20.925597349325034,0.4159956350251482,0.7578371595845048,0.21388528205211194,0.6245190771716542,0.01160556724774993,0.012805595630448568,0.0011352570147439148,0.0016277292763229177
6,-1.0,30,11,20.452773613193404,14.679446531732195,1.7994246326288263,0.5978841924772362,0.4436444809418695,1.7121549260471485,0.012704068700151712,0.0014123625511746063,2.512203701277118,0.24873823298647518,0.11273172095341898,2.809950055636759,2.5260207733970854,0.09847038298579108,0.24944610306325848,0.17060163047506255,0.10670207027177704,0.0807966436288318,17.545454545454547,30.73267326732673,10.242782851889626,25.15649674531822,0.5005237673532665,0.8872169551792211,0.2801450158373826,0.7763673779217041,0.012262066197611636,0.013795647418741761,0.0013079838935743805,0.0017412728150587586
7,-1.0,30,13,22.753363228699552,15.888640165132554,2.022600761439711,0.6635548610310571,0.48262134331612,1.973717430116434,0.013152263414248251,0.0014545476561755445,2.595958418355329,0.23208488429413016,0.09913357469559429,2.735431723753684,2.477641130295463,0.09367171115150709,0.24042147164160252,0.16554926312401422,0.126829354364686,0.07248428162204859,18.72222222222222,34.75,10.12590492831549,23.467960974649934,0.5442388383268852,0.9986712322261142,0.30329361399951554,0.714255079658498,0.012783562514444421,0.014054195660705406,0.0015339270740836316,0.001680928847646801
8,1.0,30,14,50.92151898734177,32.77489650221114,2.212557957114906,2.533973655180084,1.3906746764415074,1.990306970970927,0.03268271469486921,0.003442512525949058,2.5366980256390548,0.4417835979102576,0.14595897522814522,3.002944222984991,1.8771830623915697,0.23534390798701127,0.45368713242218534,0.349700080530494,0.12369629502255457,0.12580798312332844,43.291666666666664,65.75862068965517,19.662737955048094,36.861644245588224,2.250964814486666,2.945196358764069,0.7975298212964883,1.4976436587331066,0.03206258558029495,0.03276850776255411,0.0020466853955677707,0.0036666875477530565
9,1.0,30,16,25.675213675213676,16.940534033211918,2.129928234770179,0.7762723318725586,0.5397216020988791,2.0970722238345347,0.01446486004618548,0.0015990068295548493,2.786931559320458,0.24678318490103288,0.08865070091553541,2.8404195279049262,2.3526226437185342,0.10489705417056158,0.25468003165919256,0.18092443992658355,0.08264296164481445,0.06907817807980116,25.8,35.31132075471698,17.69713455417491,21.747853161255513,0.7657811663283471,1.0580635748517118,0.5369259366672319,0.7010722956054445,0.014498951079955741,0.015317234382405951,0.0016749888564789224,0.001873508513686576
