,reward,session,trial,mean_degree,std_degree,entropy_degree,mean_strenght,std_strenght,entropy_strenght,mean_closeness,std_closeness,entropy_closeness,mean_clustering,std_clustering,entropy_clustering,geodd,smallworld
0,-1.0,14,0,22.193018480492814,19.571374995782264,1.6838452348554047,0.6463761786801053,0.6452591599407391,1.4759906292130638,0.014545461766393599,0.0022288667201729746,2.6537295709309183,0.25426054548818644,0.11035463566703904,2.6975045104322026,2.334322001673131,0.10892265304698519
1,-1.0,14,2,64.12807881773399,40.955621179043,2.144868892270781,2.994759647206745,2.0483097102158134,1.7158982309225785,0.03762293555560885,0.005517441802270335,2.618827231228691,0.4232871606339254,0.10889305783889477,3.0398733504584197,1.8434470595390136,0.2296172045970096
2,-1.0,14,4,39.49680170575693,26.976229179231154,1.7823746428926799,1.3395477991913214,1.0077726291567877,1.573353054057824,0.020761371617362433,0.0027421316100889057,2.5474954585483514,0.28755311361704405,0.07810092394195228,2.9214939548063596,1.9989065660707452,0.14385520488948506
3,1.0,14,5,66.47466666666666,41.259035675702464,2.322219505095295,3.347973710237715,2.041701940130011,1.870970259937803,0.040764938856193644,0.004694361260524327,2.5746886115226504,0.4481843422397934,0.11821680318988881,3.0727085007871926,1.8223172905525846,0.24594199076270062
4,-1.0,14,7,60.90133333333333,36.33721138936718,2.3312496629092365,2.9088138607915432,1.6126338954611725,2.152451257369016,0.03590283174076023,0.0037613193883143034,2.629920170698225,0.4083282436874114,0.11186291515943485,2.9438523488648585,1.8380748663101605,0.22214995219814362
5,1.0,14,9,64.2770083102493,39.476010428614,2.498951466348866,3.2299944616633516,1.853697868547731,2.22316162167393,0.03936859444725592,0.0045661616069833984,2.6775812527086624,0.4357737865259267,0.12686227041851555,3.0796270639030667,1.82149892274546,0.2392391129548983
6,-1.0,14,10,27.176470588235293,17.891509523610598,2.2659553770108483,0.8540852332203898,0.5998748679119924,2.0696518518597733,0.016336568257996335,0.0019485250291819602,2.6914652006380893,0.2305221176848854,0.08457591287717499,2.6561281993921817,2.227939987251572,0.1034687285133123
7,-1.0,14,11,25.313492063492063,19.53113449827274,1.6679812494769017,0.7617101859543414,0.6550624794105712,1.4626469921516243,0.01562761817981643,0.0021443563960634217,2.538465302497492,0.24466568276992492,0.09023848641923853,2.65278638122829,2.2688945690933764,0.10783475182264218
8,-1.0,14,12,29.50537634408602,21.77194784649293,2.2101409006772372,0.9445077295984216,0.7446234229630093,2.104818751149397,0.017028971302385194,0.0021705874131779327,2.7394463545384413,0.2780413023129931,0.1009806609349978,2.694469586705968,2.1866147571375603,0.12715605316638842
9,-1.0,14,14,22.96385542168675,15.668462004982718,2.179746064013326,0.6744474435055338,0.48719473531351204,2.0116715554457065,0.01407081736174202,0.0016104407406492627,2.723583363585172,0.23055755871944394,0.09639157373135504,2.6258417701433725,2.3615669923153377,0.09762905709204536
10,-1.0,14,15,31.227848101265824,21.20063849473694,1.7995782752407319,1.0340848359787524,0.7672098469850126,1.5758408379646067,0.018329545925167695,0.002370658128201238,2.57210425912392,0.26481290787808853,0.08695414303767635,2.9372021274938582,2.1327285216010563,0.12416625238325756
11,1.0,14,18,61.1644908616188,38.6129159344396,2.205387560364306,2.937574953869574,1.8243721629549279,1.9708046471239036,0.03649513214807351,0.004187360413865104,2.5958189823239155,0.42882917176137886,0.11546321815618114,3.0060599175153797,1.8413598895465668,0.2328872124324255
12,-1.0,14,19,29.779591836734692,21.889154705263376,2.3818918089129815,0.9267635385534319,0.7574458079474896,2.1301291670445037,0.016487309170873037,0.0022563142653902273,2.725614264812098,0.2593885394632204,0.08883287348851632,2.797442749973166,2.210558824756897,0.11734070885525803
13,-1.0,14,20,25.384297520661157,17.927570107548547,2.277957825385903,0.7713187201708169,0.5849186137849527,2.113287363927808,0.015257644447276916,0.0018643760328311031,2.718758818791328,0.24539125752512528,0.10131230300689727,2.4831378819304035,2.283130571668121,0.10748016805093864
14,-1.0,14,21,49.01877934272301,32.14425560598732,1.934596790961139,1.9703533157073552,1.3795218293945182,1.6492879972262628,0.027933786364682387,0.003580875839477678,2.604079447960647,0.3542612097369105,0.08825871052476301,2.810030611625926,1.9036509251587959,0.18609567807572666
15,-1.0,14,22,41.3569844789357,25.951836914632104,1.870089877336099,1.4962831495477957,0.9927362914538802,1.6847700796325427,0.02215814126757972,0.002735871226985484,2.4740005998167582,0.3010887329125445,0.09127280522279738,2.9274102474866366,1.9740034491254004,0.15252695381355313
