,reward,1C,2C,3C,4C,5C,6C,7C,8C,9C,10C,11C,12C,13C,14C
0,-1.0,-0.05380632036440507,0.4123413244819334,0.11508592376091313,-0.005929308315844798,0.0696957176956867,-0.16348355251875718,-0.05409796961221144,-0.5116097225491213,0.05082719522372794,-0.09355789070705768,-0.06961500526200666,0.004432253844904335,-0.0880318219054384,-0.16720920179271548
1,1.0,0.07303541991113022,-0.016522952589327757,-0.15911232991663293,0.1693080724833036,-0.29420392697206066,-0.11270440679700862,0.06401000983115454,0.07770958630822435,-0.10031384212755552,0.026405795171199887,-0.11864082328846294,-0.06554600327994183,-0.12164284106158078,-0.023541956977214423
2,-1.0,-0.16325317677591322,0.09162483684051077,0.20331007985223173,-0.3655661048897147,0.11956307425477133,-0.012473090663156525,-0.32229601797451773,-0.11365055177085438,-0.15363481213943955,0.10460652863801408,-0.1541817226341107,-0.029589631162909847,0.18796056184912052,-0.09337174674580702
3,-1.0,0.13904425545720717,-0.1645318595637695,0.021214633342410902,-0.2034781451112465,-0.25247061263993453,-0.1935029817888593,0.10846225680538238,0.024576950284956812,-0.05821122584100956,0.03773253676487762,0.14373252207446333,-0.19678836085095153,0.1483405425597438,0.25386153946878387
4,-1.0,-0.17008977038042905,0.1406715513120931,0.09181911053544697,-0.1602277455710649,0.04148039112774807,-0.10510714688319757,0.05207174771770364,-0.12905805129232462,-0.05293378015692752,-0.11174318448540772,-0.2684074619328226,0.07552482584784302,-0.4244927782512805,0.37393446744291226
5,-1.0,-0.08142973754403918,0.24304887999552513,0.20924202346306994,0.2523227684767854,0.1369620240973768,-0.4019560956081051,-0.04350569303824929,0.2524241530684166,0.04757159988435427,0.0718148606843666,-0.1212843299053532,0.00820613881560913,0.008221449192287565,0.014419871502266975
6,1.0,-0.21931972221303267,-0.15116154411006225,0.2801802857077201,0.04660767754455641,-0.21044907468440008,0.2480794485382787,-0.0006059358066583766,0.09304922649898385,0.20385169735861702,0.44436492267010647,-0.19388150750078595,0.10157395321970465,0.16183274548567242,-0.1993260534263231
7,-1.0,-0.2552338891773752,-0.22347009282400424,0.16769515796343434,-0.13219796090913566,0.08864217754699201,-0.0989913059660698,0.31993044736028625,0.36042808387762126,-0.2880256927436289,-0.42187423198475876,-0.10201358938738427,-0.17026157947441142,0.055487081194371984,-0.08014123371303553
8,1.0,-0.1841909127051212,0.13610133537683922,0.0010000161948826465,0.135848852826458,-0.12074572709800216,0.011129721659262333,0.12771418164293205,-0.3217796059955577,-0.318344041819221,0.018651395569395678,0.18444397250374578,-0.18772898923178552,0.25240798727154196,-0.0049720040134334145
9,-1.0,-0.1449111497377562,0.061825344698149876,0.16623999476915938,0.09418113077366475,0.15408192608538734,0.08377098535795435,0.26172471199060915,0.1393531989559006,0.3930622909725587,-0.05764627050192136,0.21293685897761475,-0.16434310517318476,-0.076692976769149,-0.2662528111230725
