,reward,session,trial,mean_degree,std_degree,entropy_degree,mean_strenght,std_strenght,entropy_strenght,mean_closeness,std_closeness,entropy_closeness,mean_clustering,std_clustering,entropy_clustering,geodd,smallworld
0,1.0,21,0,31.537414965986393,22.212722991685514,2.455331662037866,1.141046664137538,0.8941601859879597,2.2416165298464326,0.021329956584721622,0.003247139968240629,2.855215626781276,0.3282847909540008,0.09085598419412598,2.8865917527703635,2.00215922546493,0.16396537636898903
1,1.0,21,1,14.006756756756756,12.591286466710963,2.060058444198407,0.4154283988107098,0.43508555473018934,1.8367197772478243,0.013497523163028349,0.002372773401766808,2.7620373248414536,0.25251594925368215,0.15339327531836655,2.5604842178510103,2.4920064131928537,0.10133037696726835
2,1.0,21,2,27.970802919708028,20.165534522223773,2.1390746329618286,0.9844610476850257,0.7735370454851094,2.031024548974459,0.02035613677022489,0.003091323388765609,2.7461615259249177,0.32922641585303075,0.1052861384406126,2.84398112129091,2.0038234271810915,0.16429911507531125
3,-1.0,21,5,13.222222222222221,9.371426420613165,2.4324514264933996,0.395937137898977,0.28538249180975545,2.362046414161487,0.013097539642860178,0.001574366696530646,2.780115097528782,0.24028358848368872,0.12441673733718597,2.5742705076273955,2.450863213811421,0.0980403912913669
4,-1.0,21,6,31.24229074889868,19.234201596427884,2.425414112151473,1.242517818993555,0.8045757921872028,2.304460458719015,0.025136521724648156,0.0032456860241935745,2.686136847813587,0.3356206852320259,0.09190424051271893,2.9310136917732015,1.8884643873533196,0.17772147967396823
5,-1.0,21,7,14.575250836120402,12.51207535220898,2.344760074437106,0.43777841708878934,0.4101079320150196,2.212351338918709,0.013401686909519721,0.0020892838050700587,2.761933613699486,0.2370318368815317,0.135758371559719,2.836477896792186,2.465331866849229,0.0961460159051389
6,-1.0,21,8,24.695340501792113,15.294610283923717,2.555538560956854,0.8248974330784584,0.5518567851431969,2.4788471909302676,0.018038114045474462,0.002382752148426128,2.848321238787821,0.282382351254495,0.10326451014781228,2.866874028927908,2.1010546401588406,0.13440028919626135
7,-1.0,21,9,34.18410041841004,21.28879914322617,2.3755079022677523,1.3920531812907837,0.8924249850317623,2.2804524265126838,0.026170551025499124,0.0034684890621547457,2.6744655301558584,0.3686871372697651,0.0963453449297121,3.012553631974134,1.8848844977321473,0.19560197864291504
8,-1.0,21,11,26.15934065934066,19.25314004943277,2.314976744462734,0.8191123283307389,0.6527622935864498,2.2606205686049012,0.016735222074012818,0.002315828419306292,2.8298957519726717,0.2710695905588826,0.09340735102707304,2.5871946921893274,2.1689068507250324,0.12497982127183939
9,-1.0,21,12,15.655430711610487,11.15137579484515,2.472738654148927,0.48469992448890015,0.35169005443515416,2.323349851955309,0.014410570407188633,0.0017779268125816341,2.8384232100141027,0.22901340729505645,0.11187614337220156,2.6912369481687723,2.3495536594294726,0.09747102662497453
10,-1.0,21,14,42.125,26.76985244636212,2.587131090251723,1.8326938100175434,1.192103114423086,2.424555361489487,0.03027422727494997,0.003993994085360477,2.7353675337320293,0.3941656143911927,0.09879863692587422,2.9288624360076967,1.840716911764706,0.2141370092662993
11,-1.0,21,15,14.795774647887324,10.517951610939342,2.5154217190309356,0.4533965969178763,0.3521892645154144,2.2124865287693103,0.013591738887087704,0.0019805850638066045,2.783392719450512,0.25412795481746137,0.13091336685677615,2.7417033846006014,2.454561290001493,0.10353294328099943
12,1.0,21,17,28.21090909090909,18.85251536366408,2.2146839393946496,0.985261609225198,0.7235998723061364,2.022141558292393,0.020640106711024172,0.0028571514277710847,2.6931953365122094,0.29829834128882055,0.08960924655574706,2.737909548331993,2.009104180491042,0.14847330675301962
13,-1.0,21,18,32.02189781021898,18.900997213596675,2.4472376556986513,1.2313846069813859,0.7126254014972406,2.401240059480412,0.022980096231340032,0.002535980126853177,2.714661188355936,0.3228884556559183,0.10172927706776147,2.9042841911830983,1.9493596427902997,0.1656382170679075
14,-1.0,21,19,21.854166666666668,15.076641586499886,2.35887270035232,0.7179421201815982,0.5421785111876939,2.1631439298666892,0.01725551360001679,0.0025221309659649014,2.76605276483761,0.2664594972361587,0.10649841593723247,2.7039161813971266,2.1733691444057297,0.1226020429718659
15,1.0,21,20,32.25092250922509,21.98598490764762,2.5316245457398003,1.1739543645524693,0.9000318258641754,2.3022335975372736,0.02236996528975821,0.003463057152996228,2.8335874905858587,0.3388443302994867,0.0946026962031373,2.7479754606794904,1.9655869892032254,0.17238836650869435
16,-1.0,21,21,12.053156146179402,11.469032333345565,1.9348711650839863,0.34545631009392275,0.3634802530216938,1.7756039447128225,0.012258761078044349,0.0020348311186788736,2.7376566836998903,0.23670176277107555,0.1444009462698259,2.5067666063335703,2.574905869324474,0.09192637509237346
17,-1.0,21,22,18.32089552238806,14.220334791631995,2.37989120162283,0.5697139136191688,0.4932679322713667,2.2080678505242792,0.01532943582325147,0.0024872352852723903,2.8333061572596283,0.25636522504653675,0.11103039413169008,2.5758277500273667,2.28634915311085,0.11212864172461207
18,-1.0,21,23,12.020905923344948,9.14876556560637,2.235430042312951,0.34545095063117565,0.2789171593894587,2.097615070457888,0.012081254311306501,0.0016688324323584224,2.700383685881181,0.21246251709671693,0.12941301833229013,2.352277329018819,2.577276382154431,0.08243683858194224
19,-1.0,21,24,23.859922178988327,15.280128393745663,2.36962310974611,0.816855928521056,0.5437417595700184,2.1907103636184413,0.018848540524469378,0.0023383329346301227,2.6841662665614594,0.2886924086338805,0.08919137330372894,3.0257353035518957,2.066299854085603,0.13971467309696695
20,-1.0,21,25,12.9553264604811,9.288506596344257,2.479561482088627,0.3855838368129556,0.2959382953024487,2.3835712999646095,0.012706346748958158,0.0017591715736989821,2.7961417748467925,0.20944576907838744,0.12003856391609881,2.3793808625735346,2.5367697594501717,0.08256396478164556
21,-1.0,21,26,17.432835820895523,11.576447887390293,2.5214153230123144,0.5368426457020481,0.3641658100605348,2.4359525783970883,0.014883249154294313,0.0017468913956254762,2.791944217062167,0.23104731893226552,0.1030806311678816,2.6692500272714508,2.2777405109285036,0.10143706792925276
22,-1.0,21,28,34.140845070422536,20.948492012450803,2.596434040070907,1.2573886848873679,0.8029293063500358,2.486284733926391,0.0227182607969565,0.0028738435223238214,2.8943673403786256,0.30906069517001794,0.08181781486025658,2.988965414620279,1.944433384760862,0.1589464044344353
23,1.0,21,35,15.726315789473684,11.266259615544033,2.4500196766950744,0.47154860444753166,0.37090440145182896,2.251414387928774,0.013779160075299791,0.002049229690896888,2.810593287518351,0.2391568596520264,0.1279779491679353,2.408526472287604,2.4009142574746725,0.09961074574298882
24,-1.0,21,38,20.955223880597014,15.023794893753672,2.1764157551015657,0.7081767620200871,0.5496721605338135,2.098039194987742,0.017705429791024612,0.00257525139447023,2.8149707290865598,0.2832115378388978,0.10478389497224953,2.9001963406299143,2.154061154899659,0.13147794675870772
25,1.0,21,41,18.08843537414966,12.64396022632969,2.365699105797609,0.5510005843545679,0.40751362390688467,2.3100213114380517,0.014496190855875045,0.001854383376128833,2.7143879464457505,0.24463081945127568,0.12249109203679907,2.3612735642687515,2.312623342852499,0.10578065823271353
26,-1.0,21,43,10.496503496503497,8.707664115472639,2.0449622025527274,0.2927381000680401,0.259312996219644,1.9781740200542532,0.011342302567079018,0.001608049862268731,2.7293894809354837,0.18584722094632167,0.15643855602184203,2.3864457586799728,2.6520917678812417,0.07007571276268286
27,-1.0,21,45,18.633962264150945,13.796293505472477,2.4115384275754748,0.5909172230862071,0.4666835860643182,2.317772586392923,0.016026657556868048,0.0022888697718933906,2.6773959353754435,0.24653409589363243,0.09520159673243254,2.7060618273629826,2.2274156660949114,0.11068167457305092
28,-1.0,21,46,22.98939929328622,15.2941671366048,2.280636457285973,0.751048309161357,0.5560668085383894,2.149434479180698,0.01766565064422125,0.0025706412965286114,2.7775108167458744,0.264777586382467,0.10433663833741412,2.6030929416605972,2.1303410771119964,0.12428882361946171
29,-1.0,21,47,21.87313432835821,15.569019007713779,2.3527432981327627,0.7145889554540854,0.5642561380082394,2.1546439867494067,0.01716583420204579,0.0025690137210212247,2.8387754528528593,0.2708511250574784,0.1149675899664114,2.731460897737313,2.1409245905304934,0.12651128687833185
30,-1.0,21,49,27.76173285198556,16.41434108903296,2.584021771137538,0.9120266688438636,0.57710364230246,2.4706728022081625,0.01873849740215891,0.002324612731721491,2.7443306232812317,0.2619306298713286,0.08668867531570194,2.787170299303096,2.0313399257050175,0.128944755408389
31,-1.0,21,51,29.142857142857142,18.395873539065935,2.331522957504985,1.0017020181971914,0.6822548628064131,2.196096097378852,0.020715647689498087,0.0026794079704329024,2.848163797532367,0.2838520506302963,0.0860202428119434,2.7787776767655963,1.9714001986097318,0.14398499646620408
32,-1.0,21,53,29.496402877697843,18.332608091453107,2.2928000409005436,1.0109410569502546,0.6680845636566357,2.1561188857133997,0.020354203437149023,0.00252802503694315,2.5821333195382334,0.30370983318660094,0.0880460925116966,2.830640307030993,1.975638261953614,0.15372745053351866
33,1.0,21,54,18.852941176470587,14.200522676671357,2.1911406528269954,0.5980203767694149,0.4786685482216947,2.130221829289151,0.0160133553036308,0.002164803648660876,2.765872730608603,0.25744416478226,0.10476778616112102,2.82666361596213,2.2333405686998047,0.11527313316667041
