,reward,1C Global,2C Global,3C Global,4C Global,5C Global,6C Global,7C Global,8C Global,9C Global,10C Global,11C Global,12C Global,13C Global,14C Global,1C Local,2C Local,3C Local,4C Local,5C Local,6C Local,7C Local,8C Local,9C Local,10C Local,11C Local,12C Local,13C Local,14C Local
0,-1.0,-0.04990973465736939,0.12172391783001199,0.22407540667578865,-0.27357757970396074,0.11365066523487369,0.0009714776915882218,0.16816842763591866,-0.04943340080490621,0.018933081416128532,-0.2470115287513885,-0.16711412928525687,-0.017630611287472574,0.1255542248211662,-0.18262592150534143,-0.16770234753896715,0.116393949030608,-0.13043132411341302,0.12856638606418924,0.10981525970926244,0.01370470353036229,0.13325622827862757,-0.0017823120365163354,0.18188315940362057,-0.039299498679124384,-0.08405937230437956,-0.10127737473466686,0.08529859553098955,0.40429100046221
1,-1.0,-0.04868424052959002,0.010534389506622296,-0.058464858246402525,-0.23113043272990733,-0.0310561564377612,-0.11882018927855678,0.16841159724474797,-0.17251054995736034,0.15795245944844366,0.002369504724574483,-0.08141670107195574,0.09831329000377513,0.2175880521728477,0.013265226350644125,-0.10006152291393847,0.24671399129157912,-0.16054652429090127,0.24768708206555973,0.20829681353897192,-0.0706772743396197,0.313566705942409,0.07096211535652065,0.10799712211759001,-0.022634935444191,0.0721596707464335,-0.07689568232740923,0.20942922519463242,-0.3686589784757198
2,1.0,0.14720924655924766,0.334493830950165,-0.17555416872084345,0.07036228831927469,0.1948563617536001,-0.16807568802738096,-0.23491014687641087,0.11594702210943182,-0.10152360837919923,-0.041964668998636045,0.11733223366985712,0.08371505489165265,0.08958319784348373,-0.07315456994475912,0.03463858730702674,-0.11134400195361475,0.08792790377600737,0.16982592302081687,-0.12286786841546156,0.2075029303680288,0.02530542910809315,0.03770033252805428,-0.24794535280668806,-0.13863955534136227,-0.013216119544740668,-0.0496509937051635,0.04241276028643831,0.013493845327929776
3,-1.0,-0.24807907447634509,0.15721342693982415,0.019610879382746617,0.08996118041598976,0.059959174913994134,0.02280347199578404,0.07830864945408585,-0.09370689989775555,-0.07400789851146977,0.0032250102780431718,0.1554786777172615,0.09520118810288865,0.029329535248933242,-0.28341622832692553,-0.08503305344692172,0.08613734966189608,0.2523382632926077,-0.07177693351219992,-0.078835883561199,0.10373594420570068,-0.18574752397186464,0.14389593771514114,0.03424207306925437,0.05176543149643023,-0.00015089877892180756,-0.04494266443075523,-0.12639414881954794,0.1072014437407309
4,-1.0,0.02504738988808412,-0.05055072619621704,-0.016694015909534985,0.08859275287892245,0.5124025024864459,0.35233813667415687,0.17175343317863312,0.09639864321434265,0.14906891203515005,-0.11025480803985573,0.08512875999952024,-0.12416243238204834,0.003377609062723048,-0.08641611597464888,-0.20445908774510366,-0.08894758636877287,-0.04069946307676417,0.11917114215965902,0.13149882040321115,0.17620456057279965,-0.08908470004882948,0.16183461970330168,0.22660885740181622,0.32765131944556675,-0.2749821427431293,-0.11967873809361368,-0.055539836957921716,-0.04761914349409878
5,-1.0,-0.05572468203632536,0.24443094531210421,-0.06357929127529686,0.09512436443030436,0.17655091173800608,-0.04620735529564226,-0.11147039005457478,0.015584881286609224,-0.039032952667112354,0.08391034171172515,0.006855779399240972,0.11219754708662218,0.02187810578112287,-0.0020478407546654295,0.02535162782523019,0.08517042046869336,0.166223724050507,0.12419269090245226,-0.014764888792298625,0.13131715224778012,-0.0786125675360285,-0.005540201935789969,0.10079064850957237,0.05914277634844804,0.15426216430249717,-0.05247154701308865,0.04290559444782999,-0.016223548108257633
6,-1.0,0.22287701705811336,0.10097894425164665,-0.18652689437617834,0.09752004549648745,-0.2125712578274843,0.16630405021116687,0.09695188520482442,0.15207321895484732,0.3427904017120481,-0.006252827767180383,-0.20156319077383855,-0.2336312266022734,0.01422099986152979,-0.11105815108394052,-0.2025133088095174,-0.13230601137957299,-0.1322846110439843,0.19618555080119213,0.156062219158111,-0.14208735162261374,-0.33634070502515834,0.008632699009556773,-0.08089525564032737,-0.03846237481808475,-0.11618710828696513,0.3435417355920381,0.056323115062996004,0.18536692000929314
7,1.0,-0.11338608635317479,0.06378963249956691,0.13472356281002557,0.060111563638808374,-0.018068672935550225,-0.05505689877145977,-0.11501124741537566,0.10342486010363905,-0.018696562595168824,0.2955954477132174,-0.08952676663110537,0.04516978673071088,0.05237274818480008,0.19528839840326523,0.04097886625244761,-0.11176614326119648,0.12476439076216556,-0.0051802639095878435,-0.020121431227293294,-0.14400240750833104,0.0132760683683307,0.0852298162853402,-0.04083117228185149,-0.03200606207615512,0.14079089510555484,0.028364607467143407,0.1292391915101263,0.014555870535707964
8,1.0,-0.12546331557394944,0.06895966536734778,0.13068623166047735,0.22045700952010985,0.12866835392355092,0.03393038581102869,-0.025798231946928173,0.01760484602361357,-0.19614966941767387,0.07322671537784536,0.011860223061644602,0.21550217357837081,0.08930838076215954,0.15576875240543356,0.03353819483298358,-0.13805793877697764,0.20620032094903554,0.2146979804380482,-0.053180349580289055,0.10972186657492759,0.09939566072595445,-0.05008807803738705,0.04293623226619587,0.10509439800211474,0.15741865897102705,0.032888580457106034,0.13104701481414782,0.019623190674574055
9,-1.0,0.17602979815494957,0.18872614941632787,-0.11711058554095208,-0.317549286963544,-0.06747495425727923,0.04623025890910534,0.05523303350134548,-0.2316312699225755,-0.0897288716443141,-0.012160064865363784,-0.12972334500173088,0.17665726620789252,0.16223307443566257,-0.01295642558226711,-0.18860545733826725,-0.06533523192680825,-0.04109662002508184,-0.025674327339191345,0.1598519551846743,-0.10996225106961383,0.12987094662858895,0.33570477031407,-0.2690708240183781,-0.1678647200608153,0.020119486977275437,-0.025843101660692782,-0.016028391541874642,0.10323343081830223
10,-1.0,0.10990273372071187,0.0531844476838802,0.1548028889954537,0.035189434217762154,-0.04763438133526712,-0.04601286357832366,-0.02427203814066038,0.10145805550029179,-0.06286913899897295,0.11768914599439677,0.019957393397008645,-0.10208518479347846,-0.02358718131287131,0.02217107820213317,0.11040464558933905,-0.2222625489736417,0.006329660979274055,0.10701550907913965,0.02218602197301266,-0.09334808671413797,0.05879272623114036,0.09388661460161368,-0.04306046076040091,-0.0204123773985326,0.0527449317927763,-0.1513593794747714,-0.08465100574662729,0.1337283765962242
11,-1.0,-0.04929581377460224,0.09190080834151979,0.05375660991422422,0.0023077901053245335,0.05164949719884556,0.14613241627648577,-0.06797225242596874,0.0436364460773396,0.009974689435989547,0.0427281951040583,-0.23443185556207258,0.12503810346509153,0.10426472356808789,0.20610639280069748,0.09937779463647703,0.01909057550815475,0.06592848392924666,0.008714255749558319,0.03991715895902769,0.023961441352922472,-0.07259516520624923,-0.08669099386796623,-0.0030055904695424885,-0.1307724820829224,0.20398218784296662,-0.05777765622576767,0.0643878512039785,0.10169933976463309
